City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Labuhan,ID,86.92,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
1,Hirara,JP,73.26,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
3,Kismayo,SO,80.13,overcast clouds,-0.3582,42.5454,Agan-Hotel
6,Busselton,AU,83.28,broken clouds,-33.65,115.3333,Observatory Guest House
9,Hithadhoo,MV,81.21,broken clouds,-0.6,73.0833,Scoop Guest House
10,Muli,MV,81.81,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
12,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
14,Rikitea,PF,76.21,overcast clouds,-23.1203,-134.9692,People ThankYou
15,Mackay,AU,81.79,light rain,-21.15,149.2,International Lodge Motel
17,Atuona,PF,78.44,few clouds,-9.8,-139.0333,Villa Enata
18,Ponnani,IN,83.52,broken clouds,10.767,75.9252,Rouba Residency
25,Grand Gaube,MU,81.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
31,Bambous Virieux,MU,80.85,few clouds,-20.3428,57.7575,Casa Tia Villa
35,Kapaa,US,78.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
38,Yulara,AU,82.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
40,Kavaratti,IN,82.65,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
42,Byron Bay,AU,76.95,overcast clouds,-28.65,153.6167,Backpackers Inn
45,Meulaboh,ID,84.04,broken clouds,4.1363,96.1285,Kost Pria
46,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
50,Santa Cruz,BO,72.86,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
54,Faanui,PF,81.18,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
62,Hilo,US,74.93,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
64,Marsh Harbour,BS,73.22,broken clouds,26.5412,-77.0636,Abaco Beach Resort
65,Oranjestad,AW,81.21,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
73,Vaini,TO,82.56,overcast clouds,-21.2,-175.2,Keleti Beach Resort
78,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,Hotel Fórum
84,Acapulco,MX,77.43,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
85,Biak,ID,83.32,overcast clouds,-0.9131,122.8766,Penginapan Kim
90,San Juan,AR,80.35,few clouds,-31.5375,-68.5364,Hotel Provincial
91,Tombouctou,ML,74.55,overcast clouds,20.0,-3.0,
98,Sulat,PH,85.35,broken clouds,11.8103,125.4544,Babor's Lodging House
101,Nakhon Phanom,TH,80.4,overcast clouds,17.3333,104.4167,ป่ายางรีสอร์ท
103,Adrar,MR,73.24,few clouds,20.5022,-10.0711,
109,Victoria,HK,75.16,broken clouds,22.2855,114.1577,Mini Hotel Central
111,Butaritari,KI,82.47,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
124,Waingapu,ID,87.28,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
126,Ranong,TH,82.33,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
127,Lorengau,PG,85.23,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
128,Esperance,AU,80.44,broken clouds,-33.8667,121.9,Hospitality Esperance
131,Cayenne,GF,80.64,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
139,Harper,LR,78.1,light rain,4.375,-7.7169,Screensaver
140,Kulhudhuffushi,MV,80.55,overcast clouds,6.6221,73.07,Haajy Guest House 1
142,Vila Do Maio,CV,75.99,clear sky,15.1333,-23.2167,Hotel Marilu
143,Marawi,PH,82.11,scattered clouds,7.9986,124.2928,Derogongan Residence
145,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
148,Padang,ID,85.5,overcast clouds,-0.9492,100.3543,Mercure Padang
149,Guantanamo,CU,73.47,broken clouds,20.1444,-75.2092,Hotel Guantánamo
151,Koumac,NC,83.23,scattered clouds,-20.5667,164.2833,Le Monitel
155,Buchanan,LR,77.65,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
156,Honiara,SB,83.75,light rain,-9.4333,159.95,Heritage Park Hotel
162,Semporna,MY,86.2,moderate rain,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
167,Acarau,BR,79.83,scattered clouds,-2.8856,-40.12,castelo pizzaria
168,Kahului,US,75.22,clear sky,20.8947,-156.47,Maui Seaside Hotel
170,Mecca,SA,74.7,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
171,Santa Isabel,BR,70.9,scattered clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
174,Acajutla,SV,77.43,few clouds,13.5928,-89.8275,asi es
175,Coahuayana,MX,74.93,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
177,Bowen,AU,84.42,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
179,Amapa,BR,72.25,overcast clouds,1.0,-52.0,
180,Buala,SB,83.59,light rain,-8.145,159.5921,Maringe Lagoon Lodge
183,Mersing,MY,85.91,scattered clouds,2.4312,103.8405,Timotel Hotel
184,San Ignacio,BZ,71.74,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
185,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
188,Itarema,BR,79.81,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
190,Vao,NC,75.45,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
192,Arraial Do Cabo,BR,72.01,light rain,-22.9661,-42.0278,Pousada Porto Praia
199,Airai,TL,75.18,overcast clouds,-8.9266,125.4092,Juvinal Martin
201,Lokoja,NG,74.68,overcast clouds,7.8024,6.743,Hotel Charvid
202,Samarai,PG,84.58,overcast clouds,-10.6167,150.6667,Nuli Sapi
