City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Labuhan,ID,-6.8844,112.2051,86.92,64,87,5.21,moderate rain
1,Hirara,JP,24.8,125.2833,73.26,83,75,21.85,broken clouds
2,Lebu,CL,-37.6167,-73.65,51.39,83,7,11.36,clear sky
3,Kismayo,SO,-0.3582,42.5454,80.13,77,93,3.38,overcast clouds
4,Tshane,BW,-24.0196,21.8684,67.39,71,18,17.18,few clouds
5,Lavrentiya,RU,65.5833,-171.0,-8.93,91,21,8.21,few clouds
6,Busselton,AU,-33.65,115.3333,83.28,34,68,7.38,broken clouds
7,Shebekino,RU,50.4097,36.9136,36.07,81,100,15.73,overcast clouds
8,Voznesenskoye,RU,54.89,42.7569,28.2,89,100,10.67,overcast clouds
9,Hithadhoo,MV,-0.6,73.0833,81.21,70,78,13.51,broken clouds
10,Muli,MV,2.9167,73.5667,81.81,73,100,15.75,overcast clouds
11,Coihaique,CL,-45.5752,-72.0662,45.21,87,0,2.3,clear sky
12,Georgetown,MY,5.4112,100.3354,87.73,70,20,3.44,few clouds
13,Jamestown,US,42.097,-79.2353,29.52,74,90,11.5,light snow
14,Rikitea,PF,-23.1203,-134.9692,76.21,73,100,15.79,overcast clouds
15,Mackay,AU,-21.15,149.2,81.79,70,90,12.12,light rain
16,Rocha,UY,-34.4833,-54.3333,61.97,98,34,5.39,scattered clouds
17,Atuona,PF,-9.8,-139.0333,78.44,78,16,17.74,few clouds
18,Ponnani,IN,10.767,75.9252,83.52,74,68,8.59,broken clouds
19,Mataura,NZ,-46.1927,168.8643,57.92,45,100,5.97,overcast clouds
20,Paita,PE,-5.0892,-81.1144,65.61,84,99,9.64,overcast clouds
21,Mirnyy,RU,62.5353,113.9611,6.42,89,100,15.12,overcast clouds
22,Havre-Saint-Pierre,CA,50.2334,-63.5986,43.39,100,90,14.97,overcast clouds
23,Tasiilaq,GL,65.6145,-37.6368,28.56,74,100,8.79,overcast clouds
24,Izumo,JP,35.3667,132.7667,49.95,57,40,11.5,light rain
25,Grand Gaube,MU,-20.0064,57.6608,81.0,65,2,10.27,clear sky
26,Pangnirtung,CA,66.1451,-65.7125,12.52,66,100,4.97,overcast clouds
